event_number,wheel_width_sample,sensor_sampling_rate,bad_events,bad_events_dirtyAX,bad_events_raining,good_events,min_widths_wheel_Ax0,max_widths_wheel_Ax0,min_widths_wheel_Ax1,max_widths_wheel_Ax1,widths_wheel,event_type,sensors_durability,Ax0_situation_dict,Ax1_situation_dict,output_layer_situation_dict,event_tag,bridge_name,date_time,gross_vehicle_weight,confident,velocity,lane,vehicle_type,axle_weight,axle_spacing,overweight,overweight_amount,esal,lpr_number,axle_count,gvw_strain_are,direction,type_weight_limit
bad_events|20240910_203337_2,,868.7168610816543,0.0,1643.06640625,117.1875,26.85546875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_203419_2,,875.6627330254832,0.0,70.80078125,48.828125,19.53125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_203419_4,,878.0278670953912,0.0,349.12109375,246.09375,7.8125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_204119_2,,871.242200794101,0.0,78.125,27.34375,19.53125,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_213252_2,,876.3371844244757,0.0,91.14583333333333,312.5,9.765625,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events|20240910_222113_2,,884.2832469775475,0.0,699.8697916666666,23.4375,11.71875,,,,,[],bad_events,9.333333333333334,{'Bad_events': 100.0},{'Good_events': 100.0},{'Durability_verylow': 100.0},,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240409_051835_3,,1025.0250250250251,,19.53125,384.765625,7.8125,,,41.905529114029605,73.8690571238476,"[42.868880141751106, 42.868880141751106, 41.905529114029605, 73.8690571238476]",bad_events_dirtyAX,30.226739245367316,"{'Dirty_events': 100.0, 'Raining_events': 0.78}","{'Raining_events': 100.0, 'Dirty_events': 0.01}","{'Durability_low': 100.0, 'Durability_mid': 0.78, 'Durability_verylow': 0.01}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240409_085745_4,54.13652115513767,1031.5648085963735,,163.57421875,34.1796875,25.390625,,,54.917434713365765,55.991087164047485,"[55.991087164047485, 54.917434713365765]",bad_events_dirtyAX,59.14516028046388,"{'Dirty_events': 100.0, 'Raining_events': 21.9}",{'Good_events': 100.0},"{'Durability_mid': 100.0, 'Durability_high': 21.9}",BANGKAPI_20240409_085745_4,BANGKAPI,2024-04-09 08:57:45,7.2,True,54.87804878048781,1,2,"[3.5, 3.7]",[5.034181491057707],False,0,0.0759686230236727,NONE,2,7.4,to-Seri-Thai,
bad_events_dirtyAX|20240430_094914_4,,1025.7095158597663,,19.53125,588.37890625,7.8125,115.93218385090816,169.94045801526727,65.93567961165036,69.94980129160467,"[115.93218385090816, 169.94045801526727, 65.93567961165036, 69.94980129160467]",bad_events_dirtyAX,29.497086283592882,"{'Dirty_events': 100.0, 'Raining_events': 6.65}","{'Raining_events': 99.97, 'Dirty_events': 19.82}","{'Durability_low': 99.97, 'Durability_verylow': 19.82, 'Durability_mid': 6.65}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_100021_4,,1025.3671562082777,,,53.7109375,26.85546875,31.9472873917407,156.94745491440176,67.93234949024827,73.63365907966363,"[88.97487453642847, 53.938233568075105, 62.96409278937733, 64.98024316109422, 41.95045769288487, 66.95121063931299, 33.95136401900493, 56.95865227669276, 53.9679900542601, 75.96109663005018, 49.95352515243917, 62.945649631692504, 156.94745491440176, 156.94745491440176, 31.9472873917407, 48.962624511264266, 33.96256139580919, 38.98014938702613, 36.961098957363674, 45.95113494422185, 33.952112301496754, 67.90337573385523, 45.835964912280815, 40.954119850187226, 138.94359975368025, 37.93539343740031, 87.92523103723533, 31.955401065744354, 35.95063109009061, 73.63365907966363, 70.97634566252464, 67.93234949024827]",bad_events_dirtyAX,25.705587731092596,{'Dirty_events': 100.0},"{'Raining_events': 98.5, 'Dirty_events': 38.6}","{'Durability_low': 98.5, 'Durability_verylow': 38.6}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_101902_4,,1025.3671562082777,,,595.703125,17.08984375,30.916970497024522,117.94154476088647,68.97310817069979,71.9849166654551,"[33.98368237010129, 43.92946691135808, 39.93749938964265, 39.93749938964265, 117.94154476088647, 30.916970497024522, 31.941982266726427, 56.97746636013244, 32.99923664122116, 36.95350965214038, 34.951851638817516, 34.987519500779854, 71.97078181818165, 71.9849166654551, 68.97310817069979]",bad_events_dirtyAX,41.99999999999996,"{'Dirty_events': 100.0, 'Raining_events': 41.16}",{'Raining_events': 14.83},"{'Durability_low': 14.83, 'Durability_mid': 14.83}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240430_110743_4,,1021.4463840399003,,,14.6484375,19.53125,192.9566102857632,192.9566102857632,69.9899290820008,71.92745641440456,"[192.9566102857632, 71.92745641440456, 70.94877886534255, 69.9899290820008]",bad_events_dirtyAX,63.909783966348755,"{'Dirty_events': 100.0, 'Raining_events': 60.28}",{'Good_events': 100.0},"{'Durability_mid': 100.0, 'Durability_high': 60.28}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240509_051732_2,,1033.2996972754793,,,642.08984375,9.765625,,,58.88642844569631,108.48362526211895,"[58.88642844569631, 58.88642844569631, 108.48362526211895]",bad_events_dirtyAX,29.999999999999982,{'Dirty_events': 100.0},{'Raining_events': 100.0},{'Durability_low': 100.0},,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240509_052154_2,,1026.3949214834615,,,19.53125,24.4140625,,,48.88270362730805,50.91880595279645,"[48.88270362730805, 50.91880595279645]",bad_events_dirtyAX,26.288732959589222,{'Dirty_events': 100.0},"{'Raining_events': 99.11, 'Dirty_events': 32.93}","{'Durability_low': 99.11, 'Durability_verylow': 32.93}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240509_053517_2,,1025.3671562082777,,,748.046875,9.765625,,,30.95051301837725,187.87296490789777,"[35.0, 35.0, 31.954505476269475, 55.95519432413954, 59.95989447391321, 34.95127485272462, 30.95051301837725, 41.98170731707319, 35.945652173913004, 36.94903027885425, 38.948894817073096, 42.97663551401865, 42.97663551401865, 37.73017270716355, 85.37289587200803, 65.946483180428, 76.92354066473263, 42.95060368264194, 36.98756752122108, 49.9906976744187, 89.9456765059872, 43.94063913188529, 36.21442687747003, 187.87296490789777, 187.87296490789777]",bad_events_dirtyAX,21.67613226293356,"{'Raining_events': 86.1, 'Dirty_events': 86.07}",{'Dirty_events': 100.0},"{'Durability_low': 86.1, 'Durability_verylow': 86.07}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240517_073555_1,,1021.1917227624034,,,29.296875,17.578125,61.40068607764397,61.40068607764397,31.953970718722303,80.9298697511665,"[61.40068607764397, 61.40068607764397, 80.9298697511665, 78.11785714285725, 31.953970718722303, 44.095238095238074]",bad_events_dirtyAX,30.005672510760558,{'Raining_events': 28.43},"{'Dirty_events': 100.0, 'Raining_events': 0.01}","{'Durability_low': 28.43, 'Durability_mid': 0.01}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240517_080152_1,,1032.258064516129,,,1360.6770833333333,17.578125,,,32.9824682976473,71.68799603174602,"[70.19324672758239, 71.68799603174602, 32.9824682976473]",bad_events_dirtyAX,53.787607571353114,{'Raining_events': 84.95},"{'Raining_events': 100.0, 'Dirty_events': 0.66}","{'Durability_mid': 84.95, 'Durability_low': 0.66}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240517_082219_1,,1025.0250250250251,,,21.484375,21.97265625,,,57.390625,129.62779245283036,"[87.88358778625957, 57.390625, 129.62779245283036, 57.63039643307138]",bad_events_dirtyAX,54.000000000000014,{'Raining_events': 94.24},{'Raining_events': 100.0},{'Durability_mid': 94.24},,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240517_083953_1,,1026.052104208417,,,23.4375,9.765625,,,65.90380430880714,187.65272983827202,"[187.65272983827202, 65.91739706185535, 65.90380430880714]",bad_events_dirtyAX,67.64736788076867,"{'Raining_events': 94.45, 'Dirty_events': 63.59}",{'Good_events': 100.0},"{'Durability_high': 94.45, 'Durability_mid': 63.59}",,,,,,,,,,,,,,,,,,
bad_events_dirtyAX|20240517_084611_1,,1033.5604340146353,,,22.786458333333332,17.578125,,,33.855665024630525,91.83454855724449,"[54.97088629705877, 43.9716966320882, 33.855665024630525, 80.85093912671891, 91.83454855724449]",bad_events_dirtyAX,78.0,{'Raining_events': 100.0},{'Good_events': 100.0},{'Durability_high': 100.0},,,,,,,,,,,,,,,,,,
bad_events_raining|20240912_022716_2,28.91492553410528,873.4717088427637,,,19.53125,11.71875,,,,,[],bad_events_raining,76.99130717308489,"{'Good_events': 31.42, 'Raining_events': 1.49}",{'Raining_events': 100.0},"{'Durability_high': 31.42, 'Durability_mid': 1.49}",PONGPHET_20240912_022716_2,PONGPHET,2024-09-12 02:27:16,52.45,True,87,2,8,"[11.2, 11.2, 3.4, 3.4, 11.6, 11.6]","[1.77, 2.09, 1.49, 3.31, 1.56]",True,2.45,9.64,85-6029,6,27.5,to Khaerai,50.0
bad_events_raining|20240912_023357_1,54.55120557143254,871.3039778770475,,,46.38671875,15.625,,,,,[],bad_events_raining,78.0,{'Good_events': 100.0},{'Raining_events': 100.0},{'Durability_high': 100.0},PONGPHET_20240912_023357_1,PONGPHET,2024-09-12 02:33:57,21.14,True,46,1,3,"[8.3, 6.4, 6.4]","[4.38, 1.4]",False,0.0,1.56,70-7001,3,20.2,to Khaerai,25.0
bad_events_raining|20240912_023459_1,41.08977520669447,870.3042665306816,,,764.16015625,13.671875,,,,,[],bad_events_raining,60.3205328043077,"{'Raining_events': 3.54, 'Good_events': 1.41}",{'Raining_events': 100.0},"{'Durability_mid': 3.54, 'Durability_high': 1.41}",PONGPHET_20240912_023459_1,PONGPHET,2024-09-12 02:34:59,44.39,True,61,1,7,"[8.5, 8.7, 8.7, 9.3, 9.3]","[3.82, 1.52, 3.3, 1.61]",False,0.0,4.87,83-5304,5,37.0,to Khaerai,45.0
bad_events_raining|20240912_023625_2,,871.9841044564291,,,32.552083333333336,11.71875,48.489800157879245,50.20702323991782,45.884743624402745,47.8657612109032,"[49.776383009779465, 48.489800157879245, 48.489800157879245, 49.983007159904446, 49.551887636428546, 50.20702323991782, 50.20702323991782, 46.34506623349898, 45.884743624402745, 46.88214726450042, 46.896134257326594, 47.8657612109032]",bad_events_raining,78.0,{'Good_events': 100.0},{'Raining_events': 100.0},{'Durability_high': 100.0},,,,,,,,,,,,,,,,,,
bad_events_raining|20240912_023704_2,41.71315417256011,869.024045261669,,,29.296875,7.8125,,,,,[],bad_events_raining,60.3205328043077,"{'Raining_events': 3.54, 'Good_events': 1.41}",{'Raining_events': 100.0},"{'Durability_mid': 3.54, 'Durability_high': 1.41}",PONGPHET_20240912_023704_2,PONGPHET,2024-09-12 02:37:04,42.97,True,60,2,7,"[8.4, 6.5, 6.5, 10.7, 10.7]","[3.84, 1.46, 3.88, 1.55]",False,0.0,5.4,,5,22.2,to Khaerai,45.0
bad_events_raining|20240912_023831_1,37.09958234790923,875.9623609923011,,,61.848958333333336,14.6484375,,,,,[],bad_events_raining,54.000000000000036,{'Raining_events': 5.17},{'Raining_events': 100.0},{'Durability_mid': 5.17},PONGPHET_20240912_023831_1,PONGPHET,2024-09-12 02:38:31,47.23,True,68,1,8,"[7.2, 7.2, 5.3, 5.3, 11.0, 11.0]","[1.96, 2.58, 1.51, 3.24, 1.64]",False,0.0,5.2,85-5698,6,38.7,to Khaerai,50.0
bad_events_raining|20240912_024308_4,35.31034482758621,882.7586206896552,,,416.6666666666667,12.20703125,32.285895003162636,33.09390958768017,32.88060606060617,33.91058922580396,"[32.285895003162636, 33.09390958768017, 33.91058922580396, 32.88060606060617]",bad_events_raining,95.23012234266778,"{'Good_events': 31.42, 'Raining_events': 1.49}","{'Good_events': 84.14, 'Raining_events': 0.32}","{'Durability_veryhigh': 31.42, 'Durability_high': 1.49, 'Durability_mid': 0.32}",PONGPHET_20240912_024308_4,PONGPHET,2024-09-12 02:43:08,24.34,True,72,1,3,"[7.6, 8.4, 8.4]","[5.61, 1.53]",False,0.0,2.14,53-0939,3,16.0,to Vibhavadi,25.0
bad_events_raining|20240912_024656_1,42.94251266818102,879.7250859106529,,,19.53125,12.20703125,,,,,[],bad_events_raining,54.0,{'Raining_events': 100.0},{'Raining_events': 100.0},{'Durability_mid': 100.0},PONGPHET_20240912_024656_1,PONGPHET,2024-09-12 02:46:56,42.78,True,59,1,7,"[9.0, 8.5, 8.5, 8.4, 8.4]","[3.79, 1.4, 3.98, 1.43]",False,0.0,4.35,99-7717,5,35.4,to Khaerai,45.0
bad_events_raining|20240912_024741_2,,874.4662681468831,,,16.276041666666668,9.765625,43.85104697226939,48.86804328621906,40.935850290541794,43.906164081933866,"[43.91243931384179, 43.85104697226939, 47.888731916817505, 48.86804328621906, 45.91738816738825, 44.91842254318885, 40.935850290541794, 43.906164081933866, 42.884765541207344, 41.95738510418187, 42.90363995767029, 42.87187721936766]",bad_events_raining,53.999999999999964,{'Raining_events': 50.95},{'Raining_events': 100.0},{'Durability_mid': 50.95},,,,,,,,,,,,,,,,,,
bad_events_raining|20240912_024807_1,36.460541322429,873.533802516528,,,48.828125,19.53125,,,,,[],bad_events_raining,76.10053001250581,"{'Good_events': 20.02, 'Raining_events': 1.92}",{'Raining_events': 100.0},"{'Durability_high': 20.02, 'Durability_mid': 1.92}",PONGPHET_20240912_024807_1,PONGPHET,2024-09-12 02:48:07,43.4,True,69,1,7,"[8.5, 7.9, 7.9, 9.5, 9.5]","[3.76, 1.43, 3.77, 1.5]",False,0.0,4.62,89-9434,5,36.0,to Khaerai,45.0
bad_events_raining|20240912_024840_1,39.92786469756787,873.4220402592972,,,281.25,9.765625,,,42.979585719585884,42.979585719585884,[42.979585719585884],bad_events_raining,53.999999999999986,{'Raining_events': 33.93},{'Raining_events': 100.0},{'Durability_mid': 33.93},PONGPHET_20240912_024840_1,PONGPHET,2024-09-12 02:48:40,28.01,True,63,1,9,"[3.7, 4.1, 4.1, 5.4, 5.4, 5.4]","[3.78, 1.5, 8.08, 1.55, 1.52]",False,0.0,0.42,70-8127,6,20.0,to Khaerai,50.5
